from_core,to_core,straight_line_distance_km,link_type
1,9,154.41537944395492,KNN+MST
1,13,244.90902790061494,KNN
1,17,252.023878037409,KNN
9,13,105.35426837856497,KNN+MST
9,17,109.03888247059191,KNN+MST
13,17,129.20797251521878,KNN
17,24,208.02239497192116,KNN+MST
18,24,446.90719459908183,KNN
18,28,432.96852346378984,KNN
18,33,384.4174573305163,KNN+MST
24,28,104.12519339210519,KNN+MST
24,33,160.96893450405088,KNN
24,38,202.2921104231828,KNN
26,27,221.81772699410638,KNN+MST
26,31,121.00278122526332,KNN+MST
26,32,335.0181108628207,KNN
27,30,248.17797350617687,KNN
27,31,341.4807536063997,KNN
27,32,533.6622988362743,KNN
27,41,196.80123827895895,KNN+MST
28,33,70.30402292850765,KNN+MST
28,38,104.14205682594715,KNN+MST
30,36,76.6116857229216,KNN+MST
30,40,169.18924315688355,KNN
30,41,205.86217719521227,KNN
31,32,228.94228132522787,KNN+MST
33,38,108.1286078313024,KNN
36,40,103.57509881015027,KNN+MST
36,41,175.51672721125522,KNN
36,43,154.59570528646879,KNN+MST
38,40,120.57913223622226,KNN+MST
38,42,198.24476336813916,KNN+MST
40,42,222.0399549515233,KNN
40,43,159.56452874268538,KNN
40,45,163.2482771731408,KNN
41,43,128.08581031303578,KNN+MST
41,45,183.56920892986318,KNN
42,50,141.59480393774714,KNN+MST
43,45,57.42828237815441,KNN+MST
43,49,177.12475837865634,KNN
45,49,139.2838827718412,KNN+MST
45,50,276.1340254296822,KNN
45,53,280.0446392988118,KNN
49,53,156.6045976336604,KNN+MST
50,53,275.3633962602896,KNN
