period,grid_x,grid_y,x,y,source_records,source_count,resistance,inside_fixed_core,within_10km_priority_path
early_2010_2012,-5,-297,-49964.3314121148,-2961814.7722828686,1,1,2.364034193992615,1,0
early_2010_2012,-21,-296,-203552.28585371928,-2957330.5097313,8,1,1.7277602939605714,1,0
early_2010_2012,-28,-296,-277090.64130581403,-2957210.8374723047,2,2,1.8359863543510435,1,0
early_2010_2012,-21,-295,-209824.6949948257,-2949987.668209642,1,1,1.761477048397064,1,0
early_2010_2012,-34,-295,-331125.7196018289,-2944338.1672071815,1,1,1.9107872095108032,1,0
early_2010_2012,-26,-294,-254163.52591541898,-2936122.5541174114,1,1,1.7289425783157348,1,0
early_2010_2012,-31,-294,-308099.20664764923,-2935462.1681041517,6,2,1.8116750502586363,1,0
early_2010_2012,-32,-294,-317332.178929252,-2935950.448454112,1,1,1.7679883756637575,1,0
early_2010_2012,-26,-293,-252039.3706126471,-2928239.391583121,5,1,1.8866294107437134,1,0
early_2010_2012,-27,-291,-262958.6942712431,-2902783.2286892235,2,2,2.51698738861084,1,0
early_2010_2012,-31,-291,-308661.325524224,-2902151.477576554,1,1,3.004924898147583,1,0
early_2010_2012,-27,-289,-269016.06262621394,-2888654.338359922,1,1,1.7498183236122131,1,0
early_2010_2012,-28,-289,-272375.84179650975,-2888636.272999555,1,1,1.7894593925476074,1,0
early_2010_2012,-33,-288,-325950.38476411294,-2879033.618637681,1,1,1.7309319891929629,1,0
early_2010_2012,-34,-288,-334447.766433123,-2875110.196315527,1,1,1.7110226736068725,1,0
early_2010_2012,-28,-287,-276986.42250112625,-2860927.8698411584,1,1,1.8062426166534424,1,0
early_2010_2012,-3,-285,-25747.75977993252,-2845036.8958887756,1,1,3.5829507160186767,1,0
early_2010_2012,-41,-285,-409170.5539899877,-2842129.4839637578,1,1,1.9703600087165833,1,0
early_2010_2012,-4,-285,-34483.26078387764,-2840812.325062692,1,1,3.447683687210083,1,0
early_2010_2012,-40,-283,-397738.46493041277,-2821989.867958794,3,1,1.3933187189102172,1,0
early_2010_2012,-46,-283,-459002.471522172,-2820937.3317842484,1,1,1.6645008544921875,1,0
early_2010_2012,-44,-282,-434977.484685592,-2817250.611656815,2,2,1.8408864917755126,1,0
early_2010_2012,-41,-282,-406482.7654239192,-2814509.350966841,2,1,1.7595978860855102,1,0
early_2010_2012,-42,-282,-411659.7331648901,-2811502.156892538,4,2,2.11830565738678,1,0
early_2010_2012,-49,-282,-482584.8885343188,-2810177.456351593,2,1,1.5850226736068727,1,0
