from_core,to_core,importance_rank,edge_betweenness_normalized,link_type,straight_line_distance_km,weight_robust,fence_robust,vegetation_direction_robust,veg_low_change_percent_2012_2024,veg_balanced_change_percent_2012_2024,veg_high_change_percent_2012_2024,median_change_percent_2012_2024,temporal_direction_interpretation,primary_priority_eligible_before_vegetation_test,primary_priority_eligible_final,priority_use_final
38,40,1,0.44805194805194803,KNN+MST,120.57913223622226,yes,yes,yes,1.8129943567551838,2.6250039072855427,2.6410777205140645,2.6250039072855427,increasing modeled resistance,yes,yes,primary conservation-priority evidence
24,38,2,0.3463203463203463,KNN,202.2921104231828,yes,yes,yes,2.7862695723538953,4.120036560356353,5.233293933121767,4.120036560356353,increasing modeled resistance,yes,yes,primary conservation-priority evidence
17,24,3,0.329004329004329,KNN+MST,208.02239497192116,yes,yes,yes,-7.230903772530617,-9.802812894275515,-12.914630262431459,-9.802812894275515,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
30,40,4,0.2601731601731602,KNN,169.18924315688355,yes,yes,yes,-0.043248754500359074,-1.2759254017736654,-3.8151141783137423,-1.2759254017736654,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
27,41,5,0.11255411255411256,KNN+MST,196.80123827895895,yes,yes,yes,-2.4777503356304837,-4.5166324662903365,-7.53557816947376,-4.5166324662903365,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
41,45,6,0.09855699855699855,KNN,183.56920892986318,yes,yes,yes,-3.0326220675525692,-5.80901436924505,-9.883359908808051,-5.80901436924505,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
33,38,7,0.08658008658008659,KNN,108.1286078313024,yes,yes,yes,8.259541004191142,14.252229369153236,21.81760480748361,14.252229369153236,increasing modeled resistance,yes,yes,primary conservation-priority evidence
9,17,8,0.08658008658008658,KNN+MST,109.03888247059191,yes,yes,yes,-5.391714604752692,-8.713449662969595,-14.134988055618694,-8.713449662969595,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
26,27,9,0.08658008658008658,KNN+MST,221.81772699410638,yes,yes,yes,-2.2845545303711177,-5.015568769176962,-8.854190669045794,-5.015568769176962,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
40,43,10,0.08434343434343435,KNN,159.56452874268538,yes,yes,yes,-0.5395488496095557,-2.1268476583832383,-4.923752741760707,-2.1268476583832383,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
42,50,11,0.07698412698412699,KNN+MST,141.59480393774714,yes,yes,yes,6.118920216675662,9.13212253119048,12.770874669173814,9.13212253119048,increasing modeled resistance,yes,yes,primary conservation-priority evidence
36,40,12,0.06399711399711398,KNN+MST,103.57509881015027,yes,yes,yes,0.3713459280623942,0.6510294297749858,1.0479387867342247,0.6510294297749858,increasing modeled resistance,yes,yes,primary conservation-priority evidence
43,49,13,0.04805194805194805,KNN,177.12475837865634,yes,yes,yes,-5.573173735724011,-9.965120115565716,-14.780305811261632,-9.965120115565716,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
40,42,14,0.047113997113997115,KNN,222.0399549515233,yes,yes,yes,-2.967659656712453,-5.545040147684464,-8.46117601877414,-5.545040147684464,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
41,43,15,0.04646464646464646,KNN+MST,128.08581031303578,yes,yes,yes,-4.2945324150890345,-6.271892369049965,-8.84528822004972,-6.271892369049965,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
45,50,16,0.04487734487734488,KNN,276.1340254296822,yes,yes,yes,3.568234627011079,5.433049266044254,5.383190801831489,5.383190801831489,increasing modeled resistance,yes,yes,primary conservation-priority evidence
45,49,17,0.04285714285714286,KNN+MST,139.2838827718412,yes,yes,yes,-3.67856113047293,-6.822934007307518,-11.697200659716492,-6.822934007307518,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
50,53,18,0.031385281385281384,KNN,275.3633962602896,yes,yes,yes,-0.563328569021139,-0.49585634187429484,-0.6664428871354128,-0.563328569021139,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
36,41,19,0.028282828282828278,KNN,175.51672721125522,yes,yes,yes,-5.967642881883715,-10.286350296321217,-14.98448918534504,-10.286350296321217,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
18,28,20,0.025974025974025986,KNN,432.96852346378984,yes,yes,yes,9.178540216733214,12.577263746588297,16.79060259372525,12.577263746588297,increasing modeled resistance,yes,yes,primary conservation-priority evidence
18,33,21,0.025974025974025983,KNN+MST,384.4174573305163,yes,yes,yes,5.579014416228397,9.24738456494978,13.992628726039646,9.24738456494978,increasing modeled resistance,yes,yes,primary conservation-priority evidence
24,28,22,0.021645021645021644,KNN+MST,104.12519339210519,yes,yes,yes,-2.110168548609469,-3.481650269501641,-5.135819226658633,-3.481650269501641,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
24,33,23,0.021645021645021644,KNN,160.96893450405088,yes,yes,yes,4.873653472625702,8.15466467896164,12.173590717727095,8.15466467896164,increasing modeled resistance,yes,yes,primary conservation-priority evidence
36,43,24,0.015656565656565653,KNN+MST,154.59570528646879,yes,yes,yes,-0.29855590539142585,-3.448484734702379,-5.9982504521512805,-3.448484734702379,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
30,36,25,0.015295815295815295,KNN+MST,76.6116857229216,yes,yes,yes,3.2555060719824733,5.2518927305855065,7.574302111773555,5.2518927305855065,increasing modeled resistance,yes,yes,primary conservation-priority evidence
43,45,26,0.014430014430014428,KNN+MST,57.42828237815441,yes,yes,yes,-6.903330821836905,-10.671207142947505,-18.254787892947537,-10.671207142947505,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
49,53,27,0.010822510822510822,KNN+MST,156.6045976336604,yes,yes,yes,-1.2074107884813858,-2.3779720521654895,-3.643592251288314,-2.3779720521654895,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
9,13,28,0.004329004329004329,KNN+MST,105.35426837856497,yes,yes,yes,-4.286481902451665,-7.480048805083735,-13.66246913604699,-7.480048805083735,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
26,31,29,0.004329004329004329,KNN+MST,121.00278122526332,yes,yes,yes,-3.7771552499733025,-5.731198974198507,-5.85201447749194,-5.731198974198507,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
26,32,30,0.004329004329004329,KNN,335.0181108628207,yes,yes,yes,-4.212594951975722,-7.193007713727144,-12.252569070504755,-7.193007713727144,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
28,33,31,0.004329004329004329,KNN+MST,70.30402292850765,yes,yes,yes,-0.6086202416322544,-0.708140303009163,-0.7485216009636022,-0.708140303009163,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
31,32,32,0.004329004329004329,KNN+MST,228.94228132522787,yes,yes,yes,-3.446865719517812,-6.427000587002575,-11.35949114468599,-6.427000587002575,decreasing modeled resistance,yes,yes,primary conservation-priority evidence
