importance_rank,from_core,to_core,edge_betweenness_normalized,straight_line_distance_km,weight_robust,fence_robust,temporal_threat_score,intervention_leverage_score,action_type,evidence_notes
1,38,40,0.44805194805194803,120.57913223622226,yes,yes,,,,
2,24,38,0.3463203463203463,202.2921104231828,yes,yes,,,,
3,17,24,0.329004329004329,208.02239497192116,yes,yes,,,,
4,30,40,0.2601731601731602,169.18924315688355,yes,yes,,,,
5,27,41,0.11255411255411256,196.80123827895895,yes,yes,,,,
6,41,45,0.09855699855699855,183.56920892986318,yes,yes,,,,
7,33,38,0.08658008658008659,108.1286078313024,yes,yes,,,,
8,9,17,0.08658008658008658,109.03888247059191,yes,yes,,,,
9,26,27,0.08658008658008658,221.81772699410638,yes,yes,,,,
10,40,43,0.08434343434343435,159.56452874268538,yes,yes,,,,
11,42,50,0.07698412698412699,141.59480393774714,yes,yes,,,,
12,36,40,0.06399711399711398,103.57509881015027,yes,yes,,,,
13,43,49,0.04805194805194805,177.12475837865634,yes,yes,,,,
14,40,42,0.047113997113997115,222.0399549515233,yes,yes,,,,
15,41,43,0.04646464646464646,128.08581031303578,yes,yes,,,,
16,45,50,0.04487734487734488,276.1340254296822,yes,yes,,,,
17,45,49,0.04285714285714286,139.2838827718412,yes,yes,,,,
18,50,53,0.031385281385281384,275.3633962602896,yes,yes,,,,
19,36,41,0.028282828282828278,175.51672721125522,yes,yes,,,,
20,18,28,0.025974025974025986,432.96852346378984,yes,yes,,,,
21,18,33,0.025974025974025983,384.4174573305163,yes,yes,,,,
22,24,28,0.021645021645021644,104.12519339210519,yes,yes,,,,
23,24,33,0.021645021645021644,160.96893450405088,yes,yes,,,,
24,36,43,0.015656565656565653,154.59570528646879,yes,yes,,,,
25,30,36,0.015295815295815295,76.6116857229216,yes,yes,,,,
26,43,45,0.014430014430014428,57.42828237815441,yes,yes,,,,
27,49,53,0.010822510822510822,156.6045976336604,yes,yes,,,,
28,9,13,0.004329004329004329,105.35426837856497,yes,yes,,,,
29,26,31,0.004329004329004329,121.00278122526332,yes,yes,,,,
30,26,32,0.004329004329004329,335.0181108628207,yes,yes,,,,
31,28,33,0.004329004329004329,70.30402292850765,yes,yes,,,,
32,31,32,0.004329004329004329,228.94228132522787,yes,yes,,,,
