country_code,country,variable,period,cell_count,minimum,maximum,mean,standard_deviation
NAM,Namibia,built,2012-2016,803661.0,-670,4862,0.12168314749627086,16.734280609930774
ZAF,South Africa,built,2012-2016,549732.0,-4340,8686,4.382091637379649,101.89158838049802
ZMB,Zambia,built,2012-2016,79173.0,-681,4804,2.0678893056976735,63.558315593420886
AGO,Angola,built,2012-2016,92637.0,0,3264,0.23883545451601207,21.916156501442742
BWA,Botswana,built,2012-2016,578382.0,-1625,5683,0.5756489655625529,35.15499112840968
ZWE,Zimbabwe,built,2012-2016,312774.0,-3004,5041,0.545173192145127,36.47581801800191
MOZ,Mozambique,built,2012-2016,83220.0,-379,5932,4.458904109589043,91.85913575983217
SWZ,eSwatini,built,2012-2016,13285.0,-148,4333,3.763041023710946,75.03994071514438
NAM,Namibia,built,2016-2020,803661.0,-526,4700,0.15737605781542258,17.971128257457515
ZAF,South Africa,built,2016-2020,549732.0,-4312,7890,4.105233095399239,96.93360039643697
ZMB,Zambia,built,2016-2020,79173.0,-87,7464,1.8401854167456195,62.117497882672694
AGO,Angola,built,2016-2020,92637.0,0,2810,0.1216576529896255,15.049499637569376
BWA,Botswana,built,2016-2020,578382.0,-3354,4299,0.31291430231230866,26.560325189909033
ZWE,Zimbabwe,built,2016-2020,312774.0,-512,5229,1.0319080230454043,41.86702329250532
MOZ,Mozambique,built,2016-2020,83220.0,-628,4563,2.4659937515020416,64.75939521763297
SWZ,eSwatini,built,2016-2020,13285.0,0,3615,10.655250282273203,118.21227534980987
NAM,Namibia,built,2020-2024,803661.0,-787,4978,0.2681814844816365,22.103450557534178
ZAF,South Africa,built,2020-2024,549732.0,-3812,10000,4.056323808692209,101.46476407110758
ZMB,Zambia,built,2020-2024,79173.0,-1786,5589,2.7229611104795666,75.81938175462305
AGO,Angola,built,2020-2024,92637.0,0,3979,0.14346319505165292,19.668203050471597
BWA,Botswana,built,2020-2024,578382.0,-2809,5491,0.5012707864352596,35.79654292707965
ZWE,Zimbabwe,built,2020-2024,312774.0,-3271,5228,2.3394879369768327,57.72504182299113
MOZ,Mozambique,built,2020-2024,83220.0,-337,5138,2.4333453496755597,65.84073178411656
SWZ,eSwatini,built,2020-2024,13285.0,-1943,5447,16.90229582235595,153.6381201863831
NAM,Namibia,built,2012-2024,803661.0,-17,4978,0.5472406897933328,33.887707185665
ZAF,South Africa,built,2012-2024,549732.0,-4340,10000,12.54364854147122,177.3616319144418
ZMB,Zambia,built,2012-2024,79173.0,0,7464,6.63103583292282,117.77668735173386
AGO,Angola,built,2012-2024,92637.0,0,3979,0.5039563025572964,33.48867166512089
BWA,Botswana,built,2012-2024,578382.0,-1625,5683,1.389834054310131,56.448327627097754
ZWE,Zimbabwe,built,2012-2024,312774.0,-1905,5613,3.916569152167366,80.33255806654505
MOZ,Mozambique,built,2012-2024,83220.0,-379,5932,9.358243210766643,131.17130738274813
SWZ,eSwatini,built,2012-2024,13285.0,0,5447,31.32058712834035,202.3844126395226
NAM,Namibia,tree,2012-2016,803661.0,-27,25,-0.6100905730152429,1.345197081270025
ZAF,South Africa,tree,2012-2016,549732.0,-65,67,-0.7517062859720711,4.318462292138948
ZMB,Zambia,tree,2012-2016,79173.0,-61,26,0.7517588066638792,5.059567203281157
AGO,Angola,tree,2012-2016,92637.0,-29,19,-1.1442943964074705,2.2997664604637986
BWA,Botswana,tree,2012-2016,578382.0,-22,36,0.30424010429092696,2.02525573896232
ZWE,Zimbabwe,tree,2012-2016,312774.0,-63,47,2.4649459354038195,4.628390144494035
MOZ,Mozambique,tree,2012-2016,83220.0,-41,45,2.4604782504206013,7.225458186866855
SWZ,eSwatini,tree,2012-2016,13285.0,-58,49,-1.1025216409484384,7.250610219345763
NAM,Namibia,tree,2016-2020,803661.0,-30,29,1.3544890196239119,2.9199957018768337
ZAF,South Africa,tree,2016-2020,549732.0,-59,64,1.1766933705878533,4.314880961831983
ZMB,Zambia,tree,2016-2020,79173.0,-42,32,1.8943452944817112,7.132989004855261
AGO,Angola,tree,2016-2020,92637.0,-25,35,4.058551118883345,5.21988872934908
BWA,Botswana,tree,2016-2020,578382.0,-30,29,2.259999446732423,4.181138743520432
ZWE,Zimbabwe,tree,2016-2020,312774.0,-41,58,1.391196199172582,5.346623346943808
MOZ,Mozambique,tree,2016-2020,83220.0,-36,42,2.5758111031002078,6.3728431920362665
SWZ,eSwatini,tree,2016-2020,13285.0,-65,58,6.44185171245764,7.706276764872027
NAM,Namibia,tree,2020-2024,803661.0,-27,18,-1.4637963021722058,2.6061543089954524
ZAF,South Africa,tree,2020-2024,549732.0,-64,64,2.0668816805279553,4.818235000377597
ZMB,Zambia,tree,2020-2024,79173.0,-56,33,-4.172381998913729,5.2304687092704025
AGO,Angola,tree,2020-2024,92637.0,-32,20,-2.7630644342973043,4.697228325447711
BWA,Botswana,tree,2020-2024,578382.0,-31,26,-1.3765608196659127,3.7210630409059546
ZWE,Zimbabwe,tree,2020-2024,312774.0,-72,42,-0.1438578654235927,4.580288849147311
MOZ,Mozambique,tree,2020-2024,83220.0,-47,55,1.335640471040622,5.802288962310423
SWZ,eSwatini,tree,2020-2024,13285.0,-61,60,3.6699284907790894,8.807965210126419
NAM,Namibia,tree,2012-2024,803661.0,-28,23,-0.7193978555634715,1.8724333102971429
ZAF,South Africa,tree,2012-2024,549732.0,-72,75,2.4918687651437366,5.417099375491525
ZMB,Zambia,tree,2012-2024,79173.0,-76,24,-1.5262778977681986,5.61534912472517
AGO,Angola,tree,2012-2024,92637.0,-31,23,0.1511922881785903,2.6722560371398707
BWA,Botswana,tree,2012-2024,578382.0,-25,29,1.1876787313574522,2.6953125896445007
ZWE,Zimbabwe,tree,2012-2024,312774.0,-70,60,3.712284269152825,4.8585030376681075
MOZ,Mozambique,tree,2012-2024,83220.0,-47,58,6.371929824561397,6.9644374464710435
SWZ,eSwatini,tree,2012-2024,13285.0,-55,62,9.009258562288265,8.93236351097075
NAM,Namibia,nontree,2012-2016,803661.0,-71,75,-11.4283572302252,14.5053835432126
ZAF,South Africa,nontree,2012-2016,549732.0,-55,64,-0.7402607088544864,9.84936567287908
ZMB,Zambia,nontree,2012-2016,79173.0,-36,84,-3.52982708751721,8.968284766476778
AGO,Angola,nontree,2012-2016,92637.0,-49,45,-0.9334823018879971,9.87113013937981
BWA,Botswana,nontree,2012-2016,578382.0,-63,85,1.0050917905466985,12.5323559855522
ZWE,Zimbabwe,nontree,2012-2016,312774.0,-46,67,-1.896007980202894,10.47331701334562
MOZ,Mozambique,nontree,2012-2016,83220.0,-44,50,-0.6565248738284164,8.759696180855196
SWZ,eSwatini,nontree,2012-2016,13285.0,-44,53,-1.2290553255551346,7.44336531512983
NAM,Namibia,nontree,2016-2020,803661.0,-48,68,5.388692495965359,11.892309283923007
ZAF,South Africa,nontree,2016-2020,549732.0,-53,56,1.4276283716428932,9.74609777909646
