weight_model,from_core,to_core,alternative_within_5km_of_primary_percent,path_length_change_percent,cost_change_percent,classification
equal,1,9,100.0,-0.5797476093549481,-3.4949787365805767,ROBUST
equal,1,13,100.0,-0.27780163518771855,-4.3852996271596965,ROBUST
equal,1,17,36.05794472706837,-2.2198988605226706,-3.8547649701791924,WEIGHT_SENSITIVE
equal,9,13,100.0,0.0,-6.758068210247699,ROBUST
equal,9,17,100.0,0.0,-4.239498271076076,ROBUST
equal,13,17,99.99999999999999,-1.669293255339956,-4.0915614579751916,ROBUST
equal,17,24,100.0,-3.8051450933524986,-4.597897223526226,ROBUST
equal,18,24,100.0,0.0,-9.251637688956922,ROBUST
equal,18,28,100.0,0.0,-1.2631588454990088,ROBUST
equal,18,33,100.0,0.0,-1.362877298906922,ROBUST
equal,24,28,100.0,0.0,-0.5350791460734562,ROBUST
equal,24,33,100.0,0.0,-0.580389424664955,ROBUST
equal,24,38,100.0,0.0,-1.4233257013518263,ROBUST
equal,26,27,100.0,-0.7495252606310328,-6.601037807713026,ROBUST
equal,26,31,100.0,0.0,-6.497499256155448,ROBUST
equal,26,32,100.0,0.0,-7.969195781295233,ROBUST
equal,27,30,100.0,-0.40388875546074954,-2.6203964548303658,ROBUST
equal,27,31,100.0,0.0,-7.254538456980675,ROBUST
equal,27,32,100.0,-0.5496236971742695,-7.300911436097464,ROBUST
equal,27,41,100.0,0.0,-6.087330566927251,ROBUST
equal,28,33,100.0,0.0,-1.7714057678079635,ROBUST
equal,28,38,0.0,-8.392825789038382,-3.1540126138572586,WEIGHT_SENSITIVE
equal,30,36,100.0,0.0,0.0,ROBUST
equal,30,40,100.0,0.0,-0.45235618774538744,ROBUST
equal,30,41,99.99999999999999,0.0,-2.6396730738718377,ROBUST
equal,31,32,100.0,0.0,-6.109411267209927,ROBUST
equal,33,38,100.0,0.0,-2.2968516245812625,ROBUST
equal,36,40,100.0,0.0,-1.4322308142324853,ROBUST
equal,36,41,100.0,-0.2776305496359888,-2.7196598171172863,ROBUST
equal,36,43,100.0,0.0,-7.073276446652337,ROBUST
equal,38,40,100.00000000000001,0.0,-2.742812734379155,ROBUST
equal,38,42,100.0,0.0,-3.0217069494521764,ROBUST
equal,40,42,100.0,0.0,-7.780169622794212,ROBUST
equal,40,43,100.0,-0.8513708319975039,-5.84172742613666,ROBUST
equal,40,45,100.0,-2.9571777517412454,-5.547236328934678,ROBUST
equal,41,43,100.0,0.0,-7.823503675835096,ROBUST
equal,41,45,100.0,0.0,-7.672969203717241,ROBUST
equal,42,50,100.0,0.0,-0.8307723693236998,ROBUST
equal,43,45,100.0,-1.2407258881004601,-6.9494610107797845,ROBUST
equal,43,49,100.0,0.0,-7.328464499755242,ROBUST
equal,45,49,100.0,0.0,-7.2703254374429624,ROBUST
equal,45,50,100.0,-0.21154654965293257,-1.943060948759207,ROBUST
equal,45,53,53.00166134379715,-9.648974358247655,-8.250323453609761,WEIGHT_SENSITIVE
equal,49,53,100.0,-0.3277400763475023,-10.434923404556288,ROBUST
equal,50,53,100.0,-0.41948044832469283,-7.688035603054351,ROBUST
infrastructure,1,9,0.0,0.7204179676312096,1.7422979237908236,WEIGHT_SENSITIVE
infrastructure,1,13,11.088812347095676,13.556439182283938,2.1338929496252272,WEIGHT_SENSITIVE
infrastructure,1,17,99.99999999999999,0.0,1.071955074125837,ROBUST
infrastructure,9,13,100.0,1.5456312507772498,4.818668210091715,ROBUST
infrastructure,9,17,100.0,0.0,0.9136699914879859,ROBUST
infrastructure,13,17,100.0,0.8346466276680881,0.7869995487075632,ROBUST
infrastructure,17,24,100.0,0.0,1.9861822127166044,ROBUST
infrastructure,18,24,0.0,123.06695998408077,2.7010941555657517,WEIGHT_SENSITIVE
infrastructure,18,28,100.0,0.0,-0.5037355841676866,ROBUST
infrastructure,18,33,100.0,0.0,-0.3451153500631587,ROBUST
infrastructure,24,28,100.0,0.0,-1.070149290142436,ROBUST
infrastructure,24,33,100.0,0.0,-1.16077884932991,ROBUST
infrastructure,24,38,100.0,0.0,-0.10477183125353852,ROBUST
infrastructure,26,27,99.99999999999999,9.900175386409303e-13,-4.589675890473816,ROBUST
infrastructure,26,31,100.0,0.0,-4.367407828233741,ROBUST
infrastructure,26,32,100.0,0.0,-2.4061322117704274,ROBUST
infrastructure,27,30,100.0,0.4038887554595717,-0.8488019516130028,ROBUST
infrastructure,27,31,55.46586640985191,0.128377885304101,-2.5467030430041118,WEIGHT_SENSITIVE
infrastructure,27,32,68.21102531218918,0.09160394952986203,-2.706735499158988,WEIGHT_SENSITIVE
infrastructure,27,41,100.0,1.9762755302766937e-13,-1.7912215018052777,ROBUST
infrastructure,28,33,100.0,0.0,0.1974536582373502,ROBUST
infrastructure,28,38,100.0,0.0,1.0097477408703686,ROBUST
infrastructure,30,36,100.0,0.0,0.0,ROBUST
infrastructure,30,40,100.0,0.0,-0.9047123754907749,ROBUST
infrastructure,30,41,62.19862340439188,3.69148493950086,-2.9624894062467346,WEIGHT_SENSITIVE
infrastructure,31,32,100.0,0.0,-3.836205919537749,ROBUST
infrastructure,33,38,100.0,0.0,0.47499741669411166,ROBUST
infrastructure,36,40,100.0,0.0,-2.864450442569937,ROBUST
infrastructure,36,41,100.0,0.277630549635284,-3.3861930987002506,ROBUST
infrastructure,36,43,100.0,0.0,3.0153053155093943,ROBUST
infrastructure,38,40,100.00000000000001,0.0,-1.8449484302809744,ROBUST
infrastructure,38,42,0.0,19.724455351092672,-0.03759231303423808,WEIGHT_SENSITIVE
infrastructure,40,42,100.0,0.0,4.70598238112588,ROBUST
infrastructure,40,43,100.0,0.726690460303889,3.126713278989404,ROBUST
infrastructure,40,45,40.50186826928299,8.183513016263154,3.111607419962879,WEIGHT_SENSITIVE
infrastructure,41,43,100.0,0.0,-1.1911004182404787,ROBUST
infrastructure,41,45,100.0,-0.4288668218139567,-0.34246052323761167,ROBUST
infrastructure,42,50,100.0,0.0,-1.6615375197500009,ROBUST
infrastructure,43,45,100.0,0.0,3.7862277237213875,ROBUST
infrastructure,43,49,100.0,0.0,-0.7237270554615991,ROBUST
infrastructure,45,49,100.0,0.0,-2.4881951937369022,ROBUST
infrastructure,45,50,100.0,0.0,-0.6298815898092713,ROBUST
infrastructure,45,53,100.0,0.2614933991595657,-0.690742887465274,ROBUST
infrastructure,49,53,83.19481294684444,1.9664404580860706,-0.6407085092429625,ROBUST
infrastructure,50,53,97.74773885780135,0.8389608966488973,0.8011626903284685,ROBUST
