year,class_value,class_name,pixel_count,percent_of_classified_pixels
2012,1,open vegetation,3325186,85.2159
2012,2,woody,171571,4.3969
2012,3,cropland,92970,2.3826
2012,4,built,12719,0.326
2012,5,water,111591,2.8598
2012,6,bare,188035,4.8189
2016,1,open vegetation,3302992,84.6398
2016,2,woody,167006,4.2796
2016,3,cropland,94780,2.4288
2016,4,built,12897,0.3305
2016,5,water,108970,2.7924
2016,6,bare,215763,5.529
2020,1,open vegetation,3277553,83.9925
2020,2,woody,158437,4.0602
2020,3,cropland,101922,2.6119
2020,4,built,13078,0.3351
2020,5,water,108342,2.7764
2020,6,bare,242864,6.2238
2024,1,open vegetation,3311835,84.8612
2024,2,woody,133425,3.4188
2024,3,cropland,97359,2.4947
2024,4,built,13322,0.3414
2024,5,water,108497,2.7801
2024,6,bare,238211,6.1038
