from_core,to_core,path_length_km,accumulated_cost_raw,status
1,9,100.4558441227241,122718.046875,OK
1,13,210.27922061357978,272902.3125,OK
1,17,237.1837661840797,301206.40625,OK
9,13,26.798989873218513,42030.6328125,OK
9,17,57.6568542494904,74048.1171875,OK
13,17,97.59797974644425,124373.7109375,OK
17,24,31.41421356237216,41835.72265625,OK
18,24,9.41421356237589,19202.525390625,OK
18,28,153.4852813742399,163974.0,OK
18,33,117.98275605729823,126738.4921875,OK
24,28,21.00000000000093,21580.462890625,OK
24,33,39.69848480983784,40892.0703125,OK
24,38,105.14213562373031,113323.3828125,OK
26,27,109.69848480983457,174795.515625,OK
26,31,24.31370849898871,37391.3359375,OK
26,32,117.98275605729712,212945.203125,OK
27,30,204.28427124746545,236611.5,OK
27,31,322.6518036156062,542960.625,OK
27,32,449.6934341759428,766740.8125,OK
27,41,158.1959594928913,234050.578125,OK
28,33,21.00000000000745,23081.169921875,OK
28,38,38.041630560343044,48297.21875,OK
30,36,30.99999999999907,31000.0,OK
30,40,136.2670273047575,139435.078125,OK
30,41,169.90663761154985,196551.484375,OK
31,32,64.72792206135018,101613.8671875,OK
33,38,39.69848480982989,44986.27734375,OK
36,40,63.84062043356638,68842.1171875,OK
36,41,148.78174593052023,173137.40625,OK
36,43,111.7401153701843,180395.671875,OK
38,40,25.556349186109152,29751.560546875,OK
38,42,29.698484809835655,35179.15234375,OK
40,42,22.242640687117582,38470.59375,OK
40,43,136.4386001800113,198202.78125,OK
40,45,136.89444430272584,198292.921875,OK
41,43,119.95331880577162,208972.125,OK
41,45,193.16652224136794,332499.875,OK
42,50,51.41421356237216,53661.90625,OK
43,45,32.9705627484726,52705.4609375,OK
43,49,147.89949493660862,247111.921875,OK
45,49,111.79898987322426,186359.609375,OK
45,50,276.32085117392,306908.78125,OK
45,53,286.23759005323654,536864.0,OK
49,53,125.97056274848404,302336.65625,OK
50,53,278.1198410471493,478911.5,OK
