core_id,area_km2,minimum_density_cheetahs_per_100km2,minimum_patch_km2,connectivity_rule
1,505.9999993214232,0.51,500,eight-neighbor
9,2940.999997598002,0.51,500,eight-neighbor
13,1203.0000023810849,0.51,500,eight-neighbor
17,525.9999997463814,0.51,500,eight-neighbor
18,99672.99983680587,0.51,500,eight-neighbor
24,28182.99990865745,0.51,500,eight-neighbor
26,9189.00000643714,0.51,500,eight-neighbor
27,1403.999999792835,0.51,500,eight-neighbor
28,1903.0000025257825,0.51,500,eight-neighbor
30,901.9999969891816,0.51,500,eight-neighbor
31,1687.9999990581516,0.51,500,eight-neighbor
32,19871.999974862076,0.51,500,eight-neighbor
33,1101.99998701828,0.51,500,eight-neighbor
36,1703.9999965533164,0.51,500,eight-neighbor
38,4407.999995273609,0.51,500,eight-neighbor
40,599.9999994765155,0.51,500,eight-neighbor
41,1018.0000006290256,0.51,500,eight-neighbor
42,64829.99993589126,0.51,500,eight-neighbor
43,1101.9999999383447,0.51,500,eight-neighbor
45,599.9999977421284,0.51,500,eight-neighbor
49,1799.9999982415495,0.51,500,eight-neighbor
50,599.999999415658,0.51,500,eight-neighbor
53,899.9999990538689,0.51,500,eight-neighbor
