from_core,to_core,kaza_main_or_nearbarrier,kruger_documented_only,kruger_documented_or_uncertain,combined_kruger_documented_scenario,combined_kruger_conservative_scenario
1,9,0,0,0,0,0
1,13,1,0,0,1,1
1,17,1,0,0,1,1
9,13,1,0,0,1,1
9,17,0,0,0,0,0
13,17,1,0,0,1,1
17,24,0,0,0,0,0
18,24,0,0,0,0,0
18,28,0,0,0,0,0
18,33,0,0,0,0,0
24,28,0,0,0,0,0
24,33,0,0,0,0,0
24,38,0,0,0,0,0
26,27,0,0,0,0,0
26,31,0,0,0,0,0
26,32,0,0,0,0,0
27,30,1,0,0,1,1
27,31,0,0,0,0,0
27,32,0,0,0,0,0
27,41,0,0,0,0,0
28,33,0,0,0,0,0
28,38,0,0,0,0,0
30,36,0,0,0,0,0
30,40,0,0,0,0,0
30,41,0,0,0,0,0
31,32,0,0,0,0,0
33,38,0,0,0,0,0
36,40,0,0,0,0,0
36,41,0,0,0,0,0
36,43,0,0,0,0,0
38,40,0,0,0,0,0
38,42,0,0,0,0,0
40,42,0,0,0,0,0
40,43,0,0,0,0,0
40,45,0,0,0,0,0
41,43,0,0,0,0,0
41,45,0,0,0,0,0
42,50,0,0,0,0,0
43,45,0,0,0,0,0
43,49,0,0,0,0,0
45,49,0,0,0,0,0
45,50,0,0,0,0,0
45,53,0,0,0,0,0
49,53,0,0,0,0,0
50,53,0,0,0,0,0
