weight_model,from_core,to_core,alternative_within_5km_of_primary_percent,path_length_change_percent,cost_change_percent,classification
equal,1,17,36.05794472706837,-2.2198988605226706,-3.8547649701791924,WEIGHT_SENSITIVE
equal,27,31,100.0,0.0,-7.254538456980675,ROBUST
equal,27,32,100.0,-0.5496236971742695,-7.300911436097464,ROBUST
equal,27,41,100.0,0.0,-6.087330566927251,ROBUST
equal,28,38,0.0,-8.392825789038382,-3.1540126138572586,WEIGHT_SENSITIVE
equal,43,49,100.0,0.0,-7.328464499755242,ROBUST
equal,45,53,53.00166134379715,-9.648974358247655,-8.250323453609761,WEIGHT_SENSITIVE
infrastructure,1,17,99.99999999999999,0.0,1.071955074125837,ROBUST
infrastructure,27,31,55.46586640985191,0.128377885304101,-2.5467030430041118,WEIGHT_SENSITIVE
infrastructure,27,32,68.21102531218918,0.09160394952986203,-2.706735499158988,WEIGHT_SENSITIVE
infrastructure,27,41,100.0,1.9762755302766937e-13,-1.7912215018052777,ROBUST
infrastructure,28,38,100.0,0.0,1.0097477408703686,ROBUST
infrastructure,43,49,100.0,0.0,-0.7237270554615991,ROBUST
infrastructure,45,53,100.0,0.2614933991595657,-0.690742887465274,ROBUST
