from_core,to_core,importance_rank,edge_betweenness_normalized,effective_cost_2012,effective_cost_2024,effective_cost_change_percent,temporal_threat_status,interpretation_note
38,40,1,0.44805194805194803,30591.373046875,30590.603515625,-0.0025155171976780884,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
24,38,2,0.3463203463203463,114962.8046875,114959.6328125,-0.0027590445523854555,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
17,24,3,0.329004329004329,43852.9765625,43851.9921875,-0.0022447164985415578,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
30,40,4,0.2601731601731602,140072.8125,140068.6875,-0.002944896962071066,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
27,41,5,0.11255411255411256,249226.28125,249221.515625,-0.0019121679206935565,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
41,45,6,0.09855699855699855,360009.125,360132.75,0.03433940736918821,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
33,38,7,0.08658008658008659,46045.03515625,46043.8359375,-0.002604447463077291,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
9,17,8,0.08658008658008658,77328.109375,77326.3671875,-0.0022529808553204394,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
26,27,9,0.08658008658008658,186498.25,187149.3125,0.34909844998545564,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
40,43,10,0.08434343434343435,210494.75,210499.59375,0.002301126275120876,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
42,50,11,0.07698412698412699,54112.99609375,54111.44921875,-0.0028586016514776987,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
36,40,12,0.06399711399711398,69844.3515625,69842.421875,-0.0027628397384049375,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
43,49,13,0.04805194805194805,266359.9375,266653.53125,0.11022444019007176,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
40,42,14,0.047113997113997115,41716.85546875,41716.18359375,-0.001610560030113727,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
41,43,15,0.04646464646464646,226678.71875,226708.6875,0.01322080439013422,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
45,50,16,0.04487734487734488,312998.71875,312990.375,-0.0026657457363793123,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
45,49,17,0.04285714285714286,200676.1875,200970.84375,0.14683169621208794,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
50,53,18,0.031385281385281384,518496.9375,518796.78125,0.057829415819837894,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
36,41,19,0.028282828282828278,177982.296875,177977.796875,-0.002528341345746553,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
18,28,20,0.025974025974025986,166076.375,166071.75,-0.002784863289555784,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
18,33,21,0.025974025974025983,128493.203125,128489.6484375,-0.002766440102315723,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
24,28,22,0.021645021645021644,21697.189453125,21696.556640625,-0.0029165643843740204,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
24,33,23,0.021645021645021644,41131.984375,41130.7890625,-0.002906041413179449,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
36,43,24,0.015656565656565653,194130.171875,194126.796875,-0.001738524190960463,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
30,36,25,0.015295815295815295,31000.939453125,31000.0,-0.003030402115460085,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
43,45,26,0.014430014430014428,56642.765625,56641.7578125,-0.0017792431017089837,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
49,53,27,0.010822510822510822,337559.875,337560.875,0.0002962437404623402,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
9,13,28,0.004329004329004329,45077.7734375,45076.96484375,-0.0017937748214674118,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
26,31,29,0.004329004329004329,39982.2578125,39989.6640625,0.01852384133665538,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
26,32,30,0.004329004329004329,231094.203125,231384.703125,0.12570631200249843,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
28,33,31,0.004329004329004329,23498.037109375,23497.404296875,-0.002693044091531914,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
31,32,32,0.004329004329004329,108092.546875,108225.828125,0.1233029046434891,ready for interpretation,Positive change means modeled cost increased; do not interpret as observed movement change.
