scenario,year,output,anthropogenic_weight,vegetation_weight,terrain_weight,vegetation_transform,interpretation
veg_low,2012,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_low_2012,0.7,0.1,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_balanced,2012,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_balanced_2012,0.6,0.2,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_high,2012,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_high_2012,0.4,0.4,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_low,2016,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_low_2016,0.7,0.1,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_balanced,2016,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_balanced_2016,0.6,0.2,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_high,2016,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_high_2016,0.4,0.4,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_low,2020,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_low_2020,0.7,0.1,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_balanced,2020,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_balanced_2020,0.6,0.2,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_high,2020,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_high_2020,0.4,0.4,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_low,2024,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_low_2024,0.7,0.1,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_balanced,2024,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_balanced_2024,0.6,0.2,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
veg_high,2024,C:\cheetah\gdb\cheetah_working.gdb\resistance_temporal_veg_high_2024,0.4,0.4,0.2,"1 + 9 * mean(VCF bare, 100 - min(100, tree + nontree)) / 100","sensitivity scenario; relative structural resistance, not empirical movement coefficient"
