row,column,easting_m,northing_m,center_classification_evidence
93,2024,581089.81329282,-1837596.102480766,mixed_or_disagreeing
96,2027,584089.81329282,-1840596.102480766,mixed_or_disagreeing
97,2036,593089.81329282,-1841596.102480766,water_agreement_all_years
97,2037,594089.81329282,-1841596.102480766,water_agreement_all_years
97,2038,595089.81329282,-1841596.102480766,water_agreement_all_years
97,2039,596089.81329282,-1841596.102480766,water_agreement_all_years
97,2040,597089.81329282,-1841596.102480766,water_agreement_all_years
98,2044,601089.81329282,-1842596.102480766,water_agreement_all_years
100,2041,598089.81329282,-1844596.102480766,water_agreement_all_years
101,2035,592089.81329282,-1845596.102480766,water_agreement_all_years
102,2044,601089.81329282,-1846596.102480766,water_agreement_all_years
103,1904,461089.81329282,-1847596.102480766,mixed_or_disagreeing
197,1822,379089.81329282,-1941596.102480766,mixed_or_disagreeing
198,1810,367089.81329282,-1942596.102480766,water_agreement_all_years
199,1809,366089.81329282,-1943596.102480766,mixed_or_disagreeing
199,1810,367089.81329282,-1943596.102480766,water_agreement_all_years
199,1811,368089.81329282,-1943596.102480766,water_agreement_all_years
199,1812,369089.81329282,-1943596.102480766,mixed_or_disagreeing
201,1782,339089.81329282,-1945596.102480766,mixed_or_disagreeing
201,1787,344089.81329282,-1945596.102480766,mixed_or_disagreeing
201,1788,345089.81329282,-1945596.102480766,mixed_or_disagreeing
201,1798,355089.81329282,-1945596.102480766,mixed_or_disagreeing
201,1799,356089.81329282,-1945596.102480766,mixed_or_disagreeing
201,1809,366089.81329282,-1945596.102480766,mixed_or_disagreeing
201,1810,367089.81329282,-1945596.102480766,water_agreement_all_years
201,1836,393089.81329282,-1945596.102480766,water_agreement_all_years
203,1783,340089.81329282,-1947596.102480766,mixed_or_disagreeing
203,1819,376089.81329282,-1947596.102480766,water_agreement_all_years
203,1820,377089.81329282,-1947596.102480766,water_agreement_all_years
203,1821,378089.81329282,-1947596.102480766,water_agreement_all_years
203,1822,379089.81329282,-1947596.102480766,water_agreement_all_years
203,1842,399089.81329282,-1947596.102480766,mixed_or_disagreeing
203,1846,403089.81329282,-1947596.102480766,mixed_or_disagreeing
204,1795,352089.81329282,-1948596.102480766,mixed_or_disagreeing
204,1796,353089.81329282,-1948596.102480766,water_agreement_all_years
204,1804,361089.81329282,-1948596.102480766,mixed_or_disagreeing
204,1821,378089.81329282,-1948596.102480766,mixed_or_disagreeing
204,1822,379089.81329282,-1948596.102480766,land_agreement_all_years
205,1786,343089.81329282,-1949596.102480766,water_agreement_all_years
205,1819,376089.81329282,-1949596.102480766,water_agreement_all_years
205,1820,377089.81329282,-1949596.102480766,water_agreement_all_years
205,1821,378089.81329282,-1949596.102480766,water_agreement_all_years
206,1799,356089.81329282,-1950596.102480766,mixed_or_disagreeing
206,1800,357089.81329282,-1950596.102480766,mixed_or_disagreeing
206,1834,391089.81329282,-1950596.102480766,mixed_or_disagreeing
206,1835,392089.81329282,-1950596.102480766,water_agreement_all_years
206,1847,404089.81329282,-1950596.102480766,water_agreement_all_years
206,1848,405089.81329282,-1950596.102480766,mixed_or_disagreeing
207,1798,355089.81329282,-1951596.102480766,water_agreement_all_years
208,1781,338089.81329282,-1952596.102480766,mixed_or_disagreeing
208,1782,339089.81329282,-1952596.102480766,mixed_or_disagreeing
208,1791,348089.81329282,-1952596.102480766,water_agreement_all_years
208,1792,349089.81329282,-1952596.102480766,mixed_or_disagreeing
208,1793,350089.81329282,-1952596.102480766,water_agreement_all_years
208,1798,355089.81329282,-1952596.102480766,water_agreement_all_years
209,1780,337089.81329282,-1953596.102480766,mixed_or_disagreeing
211,1847,404089.81329282,-1955596.102480766,water_agreement_all_years
211,1849,406089.81329282,-1955596.102480766,mixed_or_disagreeing
211,1850,407089.81329282,-1955596.102480766,water_agreement_all_years
211,1851,408089.81329282,-1955596.102480766,mixed_or_disagreeing
211,1855,412089.81329282,-1955596.102480766,mixed_or_disagreeing
