FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
,Namibia/Botswana/South Africa/Zimbabwe,"eg camera trap photo, questionnaire, telemetry record, capture, direct observation, tourist photo, spoor, scat, kill, newspaper article, blog post, Flickr album, Inaturalist","eg telemetry record, photo or video, skin, carcass",,"Name of the PA, Reserve, Farm etc where the observation was made","Any relevant information describing geographic context; eg name of specific waterhole, road etc.","Name of research programme, title of published study, individual, Instagram, Facebook, Flickr, Twitter, blog",Name of data provider, ,link URL (if applicable),,,,,,, ,High = original record sensitive or classified; Medium = no publication concern; Low = already published in public domain,"For all observations with high data sensitivity, lower resolution (10km) data is available directly via Dryad.  Contact data providers, listed below, for original observations "
1,Botswana,Direct observation - cheetah handled,photo,2,Sekhutlane, ,CCB data,L Boast,2010, ,-25.61538,24.512069, , ,-25.61538,24.512069,61 & 62 - subadult male siblings,medium,
2,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.5861,22.98041, , ,-25.5861,22.98041,Translocated male - SA Male - Kealiboga,low,
3,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.5772,23.02184, , ,-25.5772,23.02184,Translocated male - SA Male - Kealiboga,low,
4,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57712,23.02194, , ,-25.57712,23.02194,Translocated male - SA Male - Kealiboga,low,
5,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57709,23.02202, , ,-25.57709,23.02202,Translocated male - SA Male - Kealiboga,low,
6,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57698,23.02197, , ,-25.57698,23.02197,Translocated male - SA Male - Kealiboga,low,
7,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57696,23.02198, , ,-25.57696,23.02198,Translocated male - SA Male - Kealiboga,low,
8,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57203,22.97838, , ,-25.57203,22.97838,Translocated male - SA Male - Kealiboga,low,
9,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-25.5472,22.3222,-25.5472,22.3222,georeferenced spoor survey data,medium,
