flare_id,country,latitude,longitude,location,field_type
s_20673,Albania,40.73262623,19.87299906,ONSHORE,GAS
s_20545,Albania,40.7487408,19.65649433,ONSHORE,OIL
s_20546,Albania,40.73905835,19.65219368,ONSHORE,OIL
s_20563,Albania,40.73164608,19.65429468,ONSHORE,OIL
s_20683,Albania,39.96046859,20.11576959,ONSHORE,GAS
s_20183,Algeria,30.88917998,5.633422548,ONSHORE,OIL
s_20208,Algeria,30.87715938,5.643397004,ONSHORE,OIL
s_20258,Algeria,30.89713146,5.584866764,ONSHORE,OIL
s_20361,Algeria,31.74670677,9.139608357,ONSHORE,OIL
s_20378,Algeria,31.75721401,9.112117274,ONSHORE,OIL
s_20251,Algeria,31.14551762,8.137851749,ONSHORE,OIL
s_7812,Algeria,28.03740208,9.544677958,ONSHORE,OIL
s_7887,Algeria,28.19081282,9.804452309,ONSHORE,OIL
s_7903,Algeria,28.27077364,9.770347426,ONSHORE,OIL
s_7816,Algeria,28.13585009,9.811932108,ONSHORE,OIL
s_7855,Algeria,28.0788326,9.78787964,ONSHORE,OIL
s_7924,Algeria,28.05801183,9.817682168,ONSHORE,OIL
s_7985b,Algeria,28.2465096,9.291115734,ONSHORE,GAS
s_7804,Algeria,29.82363514,0.571058387,ONSHORE,GAS
s_8002,Algeria,29.82121055,0.594921139,ONSHORE,GAS
m_102,Algeria,28.57714075,7.655143353,ONSHORE,OIL
m_107,Algeria,28.63634652,7.536556406,ONSHORE,OIL
m_114a,Algeria,28.63901149,7.61212583,ONSHORE,OIL
m_114b,Algeria,28.63700837,7.616716518,ONSHORE,OIL
m_116,Algeria,28.47120603,7.513441358,ONSHORE,OIL
m_117,Algeria,28.41491285,7.543847916,ONSHORE,OIL
s_7802,Algeria,28.47784775,7.509881319,ONSHORE,OIL
s_7811,Algeria,28.61892567,7.708068674,ONSHORE,OIL
s_7828,Algeria,28.6136104,7.5009679,ONSHORE,OIL
s_7831,Algeria,28.45734427,7.517753309,ONSHORE,OIL
s_7840,Algeria,28.60689902,7.513779361,ONSHORE,OIL
s_7841,Algeria,28.55945964,7.516833734,ONSHORE,OIL
s_7846,Algeria,28.49108772,7.50476502,ONSHORE,OIL
s_7861,Algeria,28.65126915,7.6850603,ONSHORE,OIL
s_7871,Algeria,28.43212284,7.513924086,ONSHORE,OIL
s_7880,Algeria,28.56166193,7.462919431,ONSHORE,OIL
s_7907,Algeria,28.61778618,7.701792958,ONSHORE,OIL
s_7946,Algeria,28.55670116,7.484136812,ONSHORE,OIL
s_7977,Algeria,28.39614782,7.440181725,ONSHORE,OIL
s_7930,Algeria,28.59842963,9.134608509,ONSHORE,OIL
s_7937,Algeria,28.59993579,9.117561912,ONSHORE,OIL
s_7971,Algeria,28.56426819,9.232179154,ONSHORE,GAS
s_7988,Algeria,28.55677176,9.245130674,ONSHORE,GAS
s_7991,Algeria,28.54914062,9.213961302,ONSHORE,GAS
m_101,Algeria,27.92518087,9.250383646,ONSHORE,GAS
m_104,Algeria,27.7641131,9.193069078,ONSHORE,GAS
m_105,Algeria,27.70301777,9.174271172,ONSHORE,GAS
m_106,Algeria,27.75000316,9.152277219,ONSHORE,GAS
m_97a,Algeria,27.73588193,9.180261233,ONSHORE,GAS
